Name,PostalCode,Locality,RegionalKey,Borough,Suburb
L649 Steinsweg,44227,Dortmund,05913000,Hombruch,
L73,53520,Schuld,07131074,,
L82,56294,Münstermaifeld,07137501,,
L886,32816,Schieder-Schwalenberg,05766060,,
Lachenmättle,79418,Neuenburg am Rhein,08315076,Steinenstadt,
Ladestr.,56203,Alsbach,07143001,,
Lahnstr.,56377,Dörnberg,07141030,,
Landturm,74532,Wolpertshausen,08127099,,
Lange Str.,49832,Langen,03454028,,
Langenau,95179,Geroldsgrüner Forst,09475453,,
Langenhorst,24214,Felm,01058051,,
Lehrpfad Eiszeit,16248,Lunow-Stolzenhagen,12060149,Stolzenhagen,
Lehrpfad Schwarzbachtal,01744,Dippoldiswalde,14628060,,
Lehrpfad,03058,Neuhausen/Spree,12071301,Frauendorf,
Lehrpfad,92249,Vilseck,09371156,,
Lehrpfad-Zauberwald,83486,Ramsau bei Berchtesgaden,09172129,,
Leinhäusle,73568,Spraitbach,08136066,,
Leipziger Str.,04571,Borna,14729050,,
Leopold-Peitz-Allee,72813,Eningen unter Achalm,08415019,,
Lerchenweg,55232,Gau-Heppenheim,07331031,,
Limbacher Weg - Multiweg Höhgewann,74722,Buchen (Odenwald),08225014,Einbach,
Lindenbergstr.,79271,Stegen,08315109,Eschbach,
Lindenhorst,16818,Nauen,12063208,Tietzow,
Linienstr.,82041,Grünwalder Forst,09184454,,
Linienstr.,82064,Oberhaching,09184134,,
Lohbauerstr.,88316,Maierhöfen,09776118,,
Lohgrund,37170,Solling,03155501,,
Lopau,29565,Munster,03358016,,
Lotsengarten,24404,Kappeln,01059045,,
Lotsenstation,24768,Schülp bei Rendsburg,01058148,,
Ludwigshöhe,90607,Rückersdorfer Forst,09574462,,
Ludwigstr.,77781,Seelbach,08317127,,
Luhnvie,24816,Hörsten,01058075,,
Lübecker Str.,23911,Ratzeburg,01053100,,
M,22880,Wedel,01056050,,
M,23775,Großenbrode,01055017,,
Malmsheimer Str.,71263,Renningen,08115041,,
Manchinger Str.,85053,Manching,09186137,,
Martin-Roth-Brücke,64589,Riedstadt,06433011,,
Martinlamitzer Weg,95100,Martinlamitzer Forst Nord,09475454,,
Max-Immelmann-Allee,79427,Neuenburg am Rhein,08315076,Grißheim,
Menglersche Weg,36219,Nentershausen,06632013,Mönchhosbach,
Mittelgrundweg,76776,Hagenbach,07334008,,
Montforterhof,67826,Duchroth,07133027,,
Moritzburger Str.,01640,Weinböhla,14627310,,
Mühlenbecker Weg,16515,Hohen Neuendorf,12065144,Borgsdorf,
Mühlenstr.,24977,Dollerup,01059106,,
Mühlenthal,57587,Hövels,07132054,,
Mühlweg,55270,Nieder-Olm,07339042,,
N,22880,Wedel,01056050,,
NRW-Nordpunkt,49419,Rahden,05770040,,
Nastätter Str.,56355,Miehlen,07141085,,
Naturbadstr.,91096,Mark,09572459,,
Neu Golmer Weg,15517,Bad Saarow,12067024,Petersdorf,
Neue Mühle,21514,Schulendorf,01053115,,
Neuheede Siedlung,26906,Heede,03454020,,
Neuseegalendorf,23779,Gremersdorf,01055015,,
Nikola-Tesla-Str.,77972,Ettenheim,08317026,,
Nordergeilwang,24896,Ahrenviölfeld,01054004,,
Nostitz,02627,Löbau,14626290,,
Näherhofstr.,73054,Süßen,08117049,,
Nördlinger Str.,91634,Mönchsroth,09571179,,
O,22880,Wedel,01056050,,
Oberbildstein,79837,Dachsberg (Südschwarzwald),08337027,,
Obere Flandersbach,42579,Wülfrath,05158036,,
Obere Rauhmühle,71111,Schönaich,08115044,,
Oberhausener Str.,40472,Ratingen,05158028,West,West
Oberkager,93077,Teugn,09273175,,
Oberkatzensteig,78141,Furtwangen im Schwarzwald,08326017,,
Obermoldauer Str.,94158,Philippsreuter Wald,09272457,,
Obernkirchener Str.,31707,Ahnsen,03257001,,
Obersiegenbühl,73453,Hüttlingen,08136033,,
Obersten Wehr,25572,Bokhorst,01061014,,
Ochsenschüttstr.,85053,Großmehring,09176129,,
Ohmsmühle,38368,Bahrdorf,03154001,,
Ortsstr.,07381,Moxa,16075069,,
Ortsstr.,07381,Oberoppurg,16075075,,
Ortsstr.,07381,Paska,16075079,,
Ortsstr.,07381,Solkwitz,16075105,,
Ortsstr.,07389,Gertewitz,16075031,,
Ortsstr.,07389,Keila,16075047,,
Ortsstr.,07389,Quaschwitz,16075087,,
Ortsstr.,07429,Rohrbach,16073074,,
Ortsstr.,07806,Lausnitz,16075056,,
Ortsstr.,07919,Kirschkau,16075048,,
Ortsstr.,54426,Merschbach,07231083,,
Ortsstr.,54662,Philippsheim,07232104,,
Ortsstr.,64395,Groß-Bieberau,06432009,,
Ortsstr.,98744,Meura,16073055,,
Ottenbacher Str.,73037,Ottenbach,08117037,,
Panoramastr.,95493,Bischofsgrüner Forst,09472451,,
Paradies,06449,Alsleben,15089005,Alsleben,
Pater-Damian-Str.,56379,Seelbach,07141128,,
Peddenöde,58256,Breckerfeld,05954004,,
Pfarrsteig,25869,Gröde,01054039,,
Pfeilhalde,73529,Waldstetten,08136079,,
Pfrentschweiher,92693,Waidhaus,09374164,,
Platte,79271,Simonswald,08316042,,
Plirup,24808,Westerrönfeld,01058172,,
Plotzsägmühlstr.,76332,Loffenau,08216029,,
Polcherholz,56761,Monreal,07137074,,
Porschestr.,71088,Weil im Schönbuch,08115051,,
Potsdamer Str.,14480,Stahnsdorf,12069604,Stahnsdorf,
Prötze,16559,Schorfheide,12060198,Schluft,
Puckholt,24354,Gammelby,01058057,,
Pählbrücke,14778,Brandenburg an der Havel,12051000,,
Rader Insel,24794,Schacht-Audorf,01058140,,
Rattenhau,74232,Untergruppenbach,08125098,,
Rechenberger Str.,74579,Jagstzell,08136035,,
Reichenbachstr.,71111,Filderstadt,08116077,,
Reichengrundstr.,97859,Partensteiner Forst,09677461,,
Reinhard-Mohn-Str.,33333,Gütersloh,05754008,,
Reinshof,37083,Friedland,03159013,Niedernjesa,
Riederwies,87629,Hopferau,09777135,,
Riesaer Str.,01612,Zeithain,14627360,,
Rispel,26409,Friedeburg,03462005,,
Rohrwiesenweg,74226,Brackenheim,08125013,,
Rotwasser,79868,Hinterzarten,08315052,,
Rudelsweiherstr.,91054,Bubenreuth,09572119,,
Rudolf-Diesel-Str.,97232,Reichenberg,09679176,,
Rudolf-Hell-Str.,77955,Mahlberg,08317073,,
Rupbachtalstr.,56379,Gutenacker,07141050,,
Röderhof,67725,Imsbach,07333033,,
Rögener Weg,24360,Gammelby,01058057,,
Röthwiesen,91367,Gräfenberg,09474132,,
Saalestr.,97618,Steinacher Forst rechts der Saale,09673456,,
Salzforststr.,97657,Forst Schmalwasser-Süd,09673454,,
Salzforststr.,97659,Burgwallbacher Forst,09673452,,
Sankt Ludwig,97509,Wipfeld,09678196,,
Sassenhof,92681,Krummennaab,09377132,,
Sattelmühle,67468,Esthal,07332016,,
Sauersmühle,56754,Pillig,07137087,,
Schalbruch,40721,Düsseldorf,05111000,Stadtbezirk 8,Unterbach
Scharrhof,66851,Gerhardsbrunn,07335011,,
Schießhof,74639,Forchtenberg,08126028,Sindringen,
Schilpenbühl,73577,Spraitbach,08136066,,
Schorn,72250,Dornstetten,08237019,Aach,
Schulstr.,74391,Bönnigheim,08118010,,
Schunterquelle,38154,Brunsleberfeld,03154501,,
Schwaara,07554,Schwaara,16076067,,
Schwanstetter Str.,90530,Forst Kleinschwarzenlohe,09576453,,
Schwarzbach,07589,Schwarzbach,16076068,,
Schwarzenbeker Landstr.,21465,Börnsen,01053012,,
Schwend,77876,Oberkirch,08317089,Ringelbach,
Schwende,79853,Schluchsee,08315102,,
Schönefelder Weg,42111,Wülfrath,05158036,,
Sebastianstr.,53572,Erpel,07138019,,
Seekante,56727,Kottenheim,07137055,,
Seestr.,83209,Chiemsee,09189451,,
Sendelbachstr.,77794,Oppenau,08317098,,
Sickeroder Dorfstr.,37308,Sickerode,16061086,,
Siedlung Maiermund,56850,Briedel,07135013,,
Sieker Berg,22962,Hoisdorf,01062035,,
Sixenhof,73563,Essingen,08136021,,
Skyline-Park-Str.,86871,Bad Wörishofen,09778116,,
Stadel,79677,Häg-Ehrsberg,08336106,,
Stadtbeker Str.,24326,Bosau,01055007,,
Standorf,97990,Creglingen,08128020,Niederrimbach,
Stiti,77815,Ottersweier,08216041,,
Strandweg,83256,Chiemsee,09189451,,
Ständenhof,66981,Ruppertsweiler,07340040,,
Stüterhof,67661,Waldleiningen,07335048,,
Sulzbacher Str.,71560,Oppenweiler,08119053,,
Süder Weg,25842,Enge-Sande,01054167,,
Südschnellweg (Behelfsbrücke),30519,Hannover,03241001,Döhren-Wülfel,Döhren
Südschnellweg (Behelfsstrecke),30519,Hannover,03241001,Döhren-Wülfel,Döhren
Take-Off Gewerbepark,78579,Tuttlingen,08327050,Nendingen,
Talsperrenweg,58256,Hagen,05914000,,
Talstr.,67317,Neuleiningen,07332038,,
Tannengrundstr.,98701,Schleusegrund,16069042,,
Tannenhütte,34329,Gutsbezirk Kaufunger Wald,06636200,,
Taubensuhl,76857,Landau in der Pfalz,07313000,,
Teplitzer Str.,84539,Mühldorfer Hart,09183451,,
Teufelsbrücke,95488,Heinersreuther Forst,09472458,,
Tietlinger Lönsweg,29683,Walsrode,03358024,Honerdingen,
Torfgrube,73266,Lenningen,08116079,Schopfloch,
Torfstr.,08328,Hartmannsdorf bei Kirchberg,14524100,,
Tropical-Islands-Allee,15910,Halbe,12061216,Briesen,
Turmberg,91058,Forst Tennenlohe,09572455,,
Uferweg,03238,Lauchhammer,12066176,Grünewalde,
Untere Rauhmühle,71111,Steinenbronn,08115046,,
Untermühlstr.,73553,Welzheim,08119084,,
Unterrotenstein,78652,Rottweil,08325049,Hausen,
Untersiegenbühl,73434,Hüttlingen,08136033,,
Unterstmatt,77815,Sasbach,08317116,,
Venedig,16556,Birkenwerder,12065036,,
Verbindungsbauwerk 3,73349,Drackenstein,08117016,,
Vörbacher Weg,72178,Pfalzgrafenweiler,08237054,,
W,22880,Wedel,01056050,,
Waldhaus,99834,Bad Salzungen,16063003,Moorgrund,
Waldstr.,01609,Zeithain,14627360,,
Waldweg,02785,Oybin,14626430,,
Wassermühle,24861,Börm,01059009,,
Weibersbrunner Str.,63875,Waldaschaffer Forst,09671460,,
Weihererhof,83115,Raubling,09187165,,
Weihermühler Weg,66987,Herschberg,07340017,,
Weikertswiesenstr.,97843,Forst Lohrerstraße,09677454,,
Weinstr.,71364,Korb,08119041,,
Weitfelder Weg,89081,Elchingen,09775139,,
Weitfelder Weg,89081,Langenau,08425072,Albeck,
Wendloher Weg,22457,Bönningstedt,01056005,,
Werkshagener Str.,58515,Kierspe,05962028,,
Werkstr.,83064,Neubeuern,09187154,,
Wernerstr.,71691,Pleidelsheim,08118063,,
Westerburer Polder,26427,Dornum,03452027,,
Wieheholzer Weg,29614,Schneverdingen,03358019,Langeloh,
Wiesenauer Str.,30179,Langenhagen,03241010,Langenhagen (Kernstadt),Wiesenau
Willy-Brandt-Allee,55411,Grolsheim,07339022,,
Winet,83646,Gaißach,09173124,,
Wingerbach,77723,Berghaupten,08317009,,
Winnender Str.,73667,Welzheim,08119084,,
Winner Weg,61130,Niddatal,06440017,,
Wittgensdorfer Höhe,09228,Hartmannsdorf,14522260,,
Wupperhof,42659,Leichlingen,05378016,,
Würzburger Str.,91469,Langenzenn,09573120,,
Wüstenei,63791,Alzenau,09671111,,
X,48346,Ostbevern,05570032,,
X-1a,76187,Karlsruhe,08212000,,
X-1b,76187,Karlsruhe,08212000,,
X-1d,76187,Karlsruhe,08212000,,
X-2d,76187,Karlsruhe,08212000,,
X-2s,76187,Karlsruhe,08212000,,
X-4,76187,Karlsruhe,08212000,,
X-6b,76187,Karlsruhe,08212000,,
X-9,76187,Karlsruhe,08212000,,
XXL-Pausenhof,71672,Marbach am Neckar,08118049,,
Zetelermarsch,26452,Zetel,03455027,,
Zigeunerbrücke,95491,Creußen,09472127,,
Zittauer Str.,02796,Olbersdorf,14626400,,
Zollbergstr.,89165,Auwald,09775451,,
Zum Bad Anna,06311,Benndorf,15087045,,
Zum Bienenheim,90480,Zerzabelshofer Forst,09574465,,
Zum Fliegerhorst,63526,Bruchköbel,06435006,Bruchköbel,
Zum Forsthaus,15749,Groß Köris,12061192,,
Zum Haarstrauch,63546,Limeshain,06440014,Himbach,
Zum Hellbachtal,23879,Lehmrade,01053084,,
Zum Klinkerwerk,03205,Luckaitztal,12066202,Buchwäldchen,
Zur Carlsburg,57319,Battenberg (Eder),06635004,Dodenau,
Zur Hohen Linie,93055,Tegernheim,09375204,,
Zur Holstenau,25712,Holstenniendorf,01061043,,
Zwickmühle,36154,Neuhof,06631018,Giesel,
[3] Scheune mit Wasserkraftagrarmaschinen,09548,Seiffen/Erzgebirge,14521570,,
derzeit Baustr.,85386,Eching,09178120,,
ehem. Altrheinbahn,67575,Eich,07331018,,
ehem. Bahnstrecke Bad Langensalza–Haussömmern,99947,Tottleben,16064062,,
ehem. Bahnstrecke Bad Langensalza–Haussömmern,99955,Urleben,16064064,,
ehem. Bahnstrecke Buttstädt–Rastenberg,99628,Buttstädt,16068063,Hardisleben,
ehem. Bahnstrecke Gau Odernheim–Osthofen,67574,Osthofen,07331055,,
ehem. Barend. Weg,21403,Wendisch Evern,03355040,,
ehem. Botanischer Garten,26384,Wilhelmshaven,03405000,,
ehem. Caller Weg,59872,Meschede,05958032,,
ehem. Fort II,39118,Magdeburg,15003000,,
ehem. Friedhof Dückerstr.,45239,Essen,05113000,Stadtbezirk IX,Werden
ehem. Friedhof,17321,Löcknitz,13075079,,
ehem. Friedhof,41469,Neuss,05162024,,
ehem. Friedhof,91710,Gunzenhausen,09577136,,
ehem. Gera-Meuselwitz-Wuitzer Eisenbahn,07546,Gera,16052000,,
ehem. Gera-Meuselwitz-Wuitzer Eisenbahn,07554,Schwaara,16076067,,
ehem. Görlitzer Bahn,12435,Berlin,11000000,Treptow-Köpenick,Alt-Treptow
ehem. Görlitzer Tunnel,10997,Berlin,11000000,Friedrichshain-Kreuzberg,Kreuzberg
ehem. Görlitzer Tunnel,10999,Berlin,11000000,Friedrichshain-Kreuzberg,Kreuzberg
ehem. Holzmarkt,91781,Weißenburg in Bayern,09577177,,
ehem. Industriebahn der Nickelhütte St. Egidien,09337,Callenberg,14524020,Callenberg,
ehem. Kleinbahn Steinhelle–Medebach,59964,Medebach,05958028,,
ehem. Landschaftspark Schloss Putzar,17392,Boldekow,13075015,Putzar,
ehem. Mülhensbrücke,53639,Königswinter,05382024,,
ehem. NVA Grenzweg,98634,Oberweid,16066052,,
ehem. Oderbruchbahn,15328,Golzow,12064172,,
ehem. Oderbruchbahn,15328,Zechin,12064538,Friedrichsaue,
ehem. Panzerstr.,61169,Friedberg (Hessen),06440008,Ockstadt,
ehem. Pfarrgarten,70376,Stuttgart,08111000,Münster,Münster
ehem. Philippsburg,66399,Mandelbachtal,10045116,Ommersheim,
ehem. Primstalbahn,66620,Nonnweiler,10046115,Primstal,
ehem. Radweg R8 bis 12-2023,93161,Sinzing,09375199,,
ehem. Radweg bis 12-2023,93051,Regensburg,09362000,,
ehem. Raminer Gutspark,17321,Ramin,13075113,,
ehem. Reiterstellwerk,55411,Bingen am Rhein,07339005,,
ehem. Schlosspark Letzlingen,39638,Gardelegen,15081135,Letzlingen,
ehem. Schmalspurbahn Freital-Potschappel–Nossen,01723,Wilsdruff,14628410,,
ehem. Schmalspurbahn Freital-Potschappel–Nossen,09629,Reinsberg,14522480,,
ehem. Schmalspurbahn Klingenberg-Colmnitz–Frauenstein,01774,Klingenberg,14628205,Pretzschendorf,
ehem. Schmalspurbahn Klingenthal–Sachsenberg-Georgenthal,08248,Klingenthal,14523160,,
ehem. Schmalspurbahn Weimar–Rastenberg/Großrudestedt,99439,Am Ettersberg,16071102,,
ehem. Schmalspurbahn Weimar–Rastenberg/Großrudestedt,99439,Neumark,16071061,,
ehem. Schmalspurbahn Wilkau-Haßlau–Carlsfeld,08107,Hartmannsdorf bei Kirchberg,14524100,,
ehem. Schmalspurbahn Wilkau-Haßlau–Carlsfeld,08147,Crinitzberg,14524040,Bärenwalde,
ehem. Tierpark Seesen,38723,Seesen,03153012,,
ehem. Werratalbahn,99817,Eisenach,16063105,,
ehem. Werratalbahn,99830,Treffurt,16063076,,
ehem. Werratalbahn,99831,Amt Creuzburg,16063104,Frankenroda,
ehem. Werratalbahn,99831,Amt Creuzburg,16063104,Mihla,
ehem. Zeche Erin Schacht 3,44577,Castrop-Rauxel,05562004,,
ehem. Zeche Königsborn Schacht 1,59425,Unna,05978036,,
ehem. Zeche Victor Schacht 5,44579,Castrop-Rauxel,05562004,,
ehemalige Autobahnauffahrt,22145,Stapelfeld,01062071,,
ehemalige City-Passage,65183,Wiesbaden,06414000,Mitte,
ehemalige Härtsfeldbahnstrecke,89446,Ziertheim,09773186,,
ehemalige Kiesgrube,65931,Frankfurt am Main,06412000,West,Sindlingen
ehemalige Landstr.,34466,Wolfhagen,06633028,Istha,
ehemalige Moselbahn,54536,Kröv,07231072,,
ehemalige Moselbahn,54538,Kinheim,07231068,,
ehemalige Moselbahn,56841,Traben-Trarbach,07231124,,
ehemalige Panzerstr. Weltkrieg II,88364,Wolfegg,08436085,,
ehemalige Panzerstr.,88281,Schlier,08436069,,
ehemalige Südschleife,53520,Müllenbach,07131051,,
ehemalige Weinbergstr.,71397,Leutenbach,08119042,,
ehemalige Zugbrücke,79541,Lörrach,08336050,Haagen,
ehemaliger Bolzplatz,79102,Freiburg im Breisgau,08311000,,
ehemaliger Friedhof Hochemmerich,47228,Duisburg,05112000,Rheinhausen,
ehemaliger Friedhof,48341,Altenberge,05566004,,
ehemaliger Gertrudenfriedhof,18273,Güstrow,13072043,,
ehemaliger Grenzweg,29413,Diesdorf,15081105,Waddekath,
ehemaliger Grenzübergang Meiningen-Eußenhausen,98617,Meiningen,16066042,Henneberg,Henneberg
ehemaliger Gutspark,06193,Wettin-Löbejün,15088216,Dößel,
ehemaliger Kreuzweg,89284,Pfaffenhofen an der Roth,09775143,,
ehemaliger Krichsteig,09633,Halsbrücke,14522240,,
ehemaliger Park der Gebrüder Kraemer,66386,St. Ingbert,10045117,St. Ingbert,
ehemaliger Spielplatz Ilexweg,49808,Lingen (Ems),03454032,,
ehemaliger Tennisplatz,31162,Bad Salzdetfurth,03254005,,
ehemaliges Klärwerk,46117,Oberhausen,05119000,Alt-Oberhausen,
ehemaliges Schneider-Bad,94034,Passau,09262000,,
ehemaliges Schwertfegergäßchen,60311,Frankfurt am Main,06412000,Innenstadt 1,Altstadt
ehemals Kreuzweg Wesuwe,49733,Haren (Ems),03454018,,
eingezäunte Spielfläche,19230,Moraas,13076099,,
extreme uphill,78573,Wurmlingen,08327054,,
forstweg,18279,Lalendorf,13072063,,
fussweg-godewindpark,23570,Lübeck,01003000,Travemünde,Alt-Travemünde / Rönnau
g-Gestell,18375,Born a. Darß,13073012,,
geol. Freilichtmuseum,48455,Bad Bentheim,03456001,,
geologischer Lehrpfad,02625,Bautzen,14625020,,
gepflasterter Rundweg,19230,Moraas,13076099,,
gepflasterter Verbindungsweg,56472,Hahn bei Marienberg,07143231,,
geplante Grünbrücke,70736,Fellbach,08119020,,
gerade 26 - 40,92353,Postbauer-Heng,09373155,,
h-Gestell,18375,Born a. Darß,13073012,,
hinkelmichel,55263,Ingelheim am Rhein,07339030,Wackernheim,
hinter hinkelmichel,55263,Ingelheim am Rhein,07339030,Wackernheim,
no,08144,Hirschfeld,14524110,,
noch unbekannt,84048,Mainburg,09273147,,
noname=yes,67071,Ludwigshafen am Rhein,07314000,Ludwigshafen-Oggersheim,
privat Evangelische Pfarrgemeinde,64625,Bensheim,06431002,Bensheim,
private property,86399,Bobingen,09772125,,
privater Schulgarten,65933,Frankfurt am Main,06412000,West,Griesheim
ramp:wheelchair=yes,56154,Boppard,07140501,,
standstreifen,75031,Eppingen,08125026,Adelshofen,
umgestürzter Baumstamm,77866,Rheinau,08317153,Rheinbischofsheim,
Äußere Bayreuther Str.,90562,Erlenstegener Forst,09572454,,
Übergang 10,18374,Zingst,13073105,,
Übergang 11,18374,Zingst,13073105,,
Übergang 12,18374,Zingst,13073105,,
Übergang 13,18374,Zingst,13073105,,
Übergang 14,18374,Zingst,13073105,,
Übergang 15,18374,Zingst,13073105,,
Übergang 16,18374,Zingst,13073105,,
Übergang 17,18374,Zingst,13073105,,
Übergang 18,18374,Zingst,13073105,,
Übergang 19,18374,Zingst,13073105,,
Übergang 2,18374,Zingst,13073105,,
Übergang 20,18374,Zingst,13073105,,
Übergang 21,18374,Zingst,13073105,,
Übergang 22,18374,Zingst,13073105,,
Übergang 24,18374,Zingst,13073105,,
Übergang 25,18374,Zingst,13073105,,
Übergang 26,18374,Zingst,13073105,,
Übergang 27,18374,Zingst,13073105,,
Übergang 28,18374,Zingst,13073105,,
Übergang 29,18374,Zingst,13073105,,
Übergang 3,18374,Zingst,13073105,,
Übergang 30,18374,Zingst,13073105,,
Übergang 31,18374,Zingst,13073105,,
Übergang 32,18374,Zingst,13073105,,
Übergang 33,18374,Zingst,13073105,,
Übergang 33,18375,Prerow,13073067,,
Übergang 34,18375,Prerow,13073067,,
Übergang 35,18375,Prerow,13073067,,
Übergang 36,18375,Prerow,13073067,,
Übergang 37,18375,Prerow,13073067,,
Übergang 4,18374,Zingst,13073105,,
Übergang 4a,18374,Zingst,13073105,,
Übergang 5,18374,Zingst,13073105,,
Übergang 6,18374,Zingst,13073105,,
Übergang 7,18374,Zingst,13073105,,
Übergang 8,18374,Zingst,13073105,,
Übergang 9,18374,Zingst,13073105,,
Übergang Badestr.,31535,Neustadt am Rübenberge,03241012,,
Übergang Campingplatz–Weiße Düne,31535,Neustadt am Rübenberge,03241012,,
Übergang Hubertusstr.,31535,Neustadt am Rübenberge,03241012,,
Übergang S1/S2 zur U6,10117,Berlin,11000000,Mitte,Mitte
Übergang Strandhotel,31535,Neustadt am Rübenberge,03241012,,
Übergang Surfers Paradise,31535,Neustadt am Rübenberge,03241012,,
Übergang,13591,Berlin,11000000,Spandau,Staaken
Übergang,14482,Potsdam,12054000,,
ältester (ehemaliger) Friedhof Heidberge,48282,Emsdetten,05566008,,
öffentliche Grünfläche,84048,Mainburg,09273147,,
öffentlicher Parkplatz,86946,Vilgertshofen,09181133,,
